product_name,brand_slug,category_slug,subcategory,gender,store_slug,price,original_price,availability,product_url,image_url
Adidas Ultra Trainer,adidas,sneakers,Running Shoes,women,adidas-store,1280,1600,IN STOCK,https://www.adidas.com/p/adidas-2-ultra-trainer,https://picsum.photos/seed/adidas-2-ultra-trainer/600/600
Adidas Pro Sneaker,adidas,sneakers,Training Shoes,unisex,adidas-store,1440,2400,IN STOCK,https://www.adidas.com/p/adidas-3-pro-sneaker,https://picsum.photos/seed/adidas-3-pro-sneaker/600/600
Adidas React Basketball Shoe,adidas,sneakers,Basketball Shoes,men,adidas-store,2750,5000,IN STOCK,https://www.adidas.com/p/adidas-4-react-basketball-shoe,https://picsum.photos/seed/adidas-4-react-basketball-shoe/600/600
Adidas Flex Court Shoe,adidas,sneakers,Lifestyle Sneakers,women,adidas-store,5200,6500,IN STOCK,https://www.adidas.com/p/adidas-5-flex-court-shoe,https://picsum.photos/seed/adidas-5-flex-court-shoe/600/600
Adidas Boost Runner,adidas,sneakers,Sneakers,unisex,adidas-store,3420,5700,IN STOCK,https://www.adidas.com/p/adidas-6-boost-runner,https://picsum.photos/seed/adidas-6-boost-runner/600/600
Adidas Prime Trainer,adidas,sneakers,Running Shoes,men,adidas-store,1950,3900,IN STOCK,https://www.adidas.com/p/adidas-7-prime-trainer,https://picsum.photos/seed/adidas-7-prime-trainer/600/600
Adidas Air Sneaker,adidas,sneakers,Training Shoes,women,adidas-store,3760,4700,LOW STOCK,https://www.adidas.com/p/adidas-8-air-sneaker,https://picsum.photos/seed/adidas-8-air-sneaker/600/600
Adidas Ultra Basketball Shoe,adidas,sneakers,Basketball Shoes,unisex,adidas-store,5655,8700,IN STOCK,https://www.adidas.com/p/adidas-9-ultra-basketball-shoe,https://picsum.photos/seed/adidas-9-ultra-basketball-shoe/600/600
Adidas Pro Court Shoe,adidas,sneakers,Lifestyle Sneakers,men,adidas-store,5120,6400,IN STOCK,https://www.adidas.com/p/adidas-10-pro-court-shoe,https://picsum.photos/seed/adidas-10-pro-court-shoe/600/600
Adidas React Runner,adidas,sneakers,Sneakers,women,adidas-store,4355,6700,IN STOCK,https://www.adidas.com/p/adidas-11-react-runner,https://picsum.photos/seed/adidas-11-react-runner/600/600
Adidas Flex Trainer,adidas,sneakers,Running Shoes,unisex,adidas-store,3300,6600,IN STOCK,https://www.adidas.com/p/adidas-12-flex-trainer,https://picsum.photos/seed/adidas-12-flex-trainer/600/600
Adidas Boost Sneaker,adidas,sneakers,Training Shoes,men,adidas-store,2520,4200,IN STOCK,https://www.adidas.com/p/adidas-13-boost-sneaker,https://picsum.photos/seed/adidas-13-boost-sneaker/600/600
Adidas Prime Basketball Shoe,adidas,sneakers,Basketball Shoes,women,adidas-store,2880,4800,IN STOCK,https://www.adidas.com/p/adidas-14-prime-basketball-shoe,https://picsum.photos/seed/adidas-14-prime-basketball-shoe/600/600
Adidas Air Court Shoe,adidas,sneakers,Lifestyle Sneakers,unisex,adidas-store,1000,2000,IN STOCK,https://www.adidas.com/p/adidas-15-air-court-shoe,https://picsum.photos/seed/adidas-15-air-court-shoe/600/600
Adidas Ultra Runner,adidas,sneakers,Sneakers,men,adidas-store,4745,7300,IN STOCK,https://www.adidas.com/p/adidas-16-ultra-runner,https://picsum.photos/seed/adidas-16-ultra-runner/600/600
Adidas Pro Trainer,adidas,sneakers,Running Shoes,women,adidas-store,1650,3000,IN STOCK,https://www.adidas.com/p/adidas-17-pro-trainer,https://picsum.photos/seed/adidas-17-pro-trainer/600/600
Adidas React Sneaker,adidas,sneakers,Training Shoes,unisex,adidas-store,4050,8100,IN STOCK,https://www.adidas.com/p/adidas-18-react-sneaker,https://picsum.photos/seed/adidas-18-react-sneaker/600/600
Adidas Flex Basketball Shoe,adidas,sneakers,Basketball Shoes,men,adidas-store,2585,4700,IN STOCK,https://www.adidas.com/p/adidas-19-flex-basketball-shoe,https://picsum.photos/seed/adidas-19-flex-basketball-shoe/600/600
Adidas Boost Court Shoe,adidas,sneakers,Lifestyle Sneakers,women,adidas-store,6150,8200,LOW STOCK,https://www.adidas.com/p/adidas-20-boost-court-shoe,https://picsum.photos/seed/adidas-20-boost-court-shoe/600/600
Zara Classic Blazer,zara,clothing,Dresses,women,zara-store,5265,8100,IN STOCK,https://www.zara.com/p/zara-1-classic-blazer,https://picsum.photos/seed/zara-1-classic-blazer/600/600
Zara Relaxed Shirt Dress,zara,clothing,Jackets,men,zara-store,2145,3900,OUT OF STOCK,https://www.zara.com/p/zara-2-relaxed-shirt-dress,https://picsum.photos/seed/zara-2-relaxed-shirt-dress/600/600
Zara Slim Fit Denim Jacket,zara,clothing,Jeans,unisex,zara-store,1760,2200,IN STOCK,https://www.zara.com/p/zara-3-slim-fit-denim-jacket,https://picsum.photos/seed/zara-3-slim-fit-denim-jacket/600/600
Zara Oversized Knit Sweater,zara,clothing,Shirts,women,zara-store,2029,2900,IN STOCK,https://www.zara.com/p/zara-4-oversized-knit-sweater,https://picsum.photos/seed/zara-4-oversized-knit-sweater/600/600
Zara Tailored Trench Coat,zara,clothing,Sweaters,men,zara-store,5850,7800,IN STOCK,https://www.zara.com/p/zara-5-tailored-trench-coat,https://picsum.photos/seed/zara-5-tailored-trench-coat/600/600
Zara Classic Midi Dress,zara,clothing,Dresses,unisex,zara-store,750,1000,IN STOCK,https://www.zara.com/p/zara-6-classic-midi-dress,https://picsum.photos/seed/zara-6-classic-midi-dress/600/600
Zara Relaxed Blazer,zara,clothing,Jackets,women,zara-store,2400,4000,OUT OF STOCK,https://www.zara.com/p/zara-7-relaxed-blazer,https://picsum.photos/seed/zara-7-relaxed-blazer/600/600
Zara Slim Fit Shirt Dress,zara,clothing,Jeans,men,zara-store,5695,6700,IN STOCK,https://www.zara.com/p/zara-8-slim-fit-shirt-dress,https://picsum.photos/seed/zara-8-slim-fit-shirt-dress/600/600
Zara Oversized Denim Jacket,zara,clothing,Shirts,unisex,zara-store,4455,8100,IN STOCK,https://www.zara.com/p/zara-9-oversized-denim-jacket,https://picsum.photos/seed/zara-9-oversized-denim-jacket/600/600
Zara Tailored Knit Sweater,zara,clothing,Sweaters,women,zara-store,3360,4200,IN STOCK,https://www.zara.com/p/zara-10-tailored-knit-sweater,https://picsum.photos/seed/zara-10-tailored-knit-sweater/600/600
Zara Classic Trench Coat,zara,clothing,Dresses,men,zara-store,3655,4300,IN STOCK,https://www.zara.com/p/zara-11-classic-trench-coat,https://picsum.photos/seed/zara-11-classic-trench-coat/600/600
Zara Relaxed Midi Dress,zara,clothing,Jackets,unisex,zara-store,1350,2700,IN STOCK,https://www.zara.com/p/zara-12-relaxed-midi-dress,https://picsum.photos/seed/zara-12-relaxed-midi-dress/600/600
Zara Slim Fit Blazer,zara,clothing,Jeans,women,zara-store,3230,3800,IN STOCK,https://www.zara.com/p/zara-13-slim-fit-blazer,https://picsum.photos/seed/zara-13-slim-fit-blazer/600/600
Zara Oversized Shirt Dress,zara,clothing,Shirts,men,zara-store,4200,5600,IN STOCK,https://www.zara.com/p/zara-14-oversized-shirt-dress,https://picsum.photos/seed/zara-14-oversized-shirt-dress/600/600
Zara Tailored Denim Jacket,zara,clothing,Sweaters,unisex,zara-store,5280,8800,IN STOCK,https://www.zara.com/p/zara-15-tailored-denim-jacket,https://picsum.photos/seed/zara-15-tailored-denim-jacket/600/600
Zara Classic Knit Sweater,zara,clothing,Dresses,women,zara-store,1120,1600,IN STOCK,https://www.zara.com/p/zara-16-classic-knit-sweater,https://picsum.photos/seed/zara-16-classic-knit-sweater/600/600
Zara Relaxed Trench Coat,zara,clothing,Jackets,men,zara-store,1430,2200,OUT OF STOCK,https://www.zara.com/p/zara-17-relaxed-trench-coat,https://picsum.photos/seed/zara-17-relaxed-trench-coat/600/600
Zara Slim Fit Midi Dress,zara,clothing,Jeans,unisex,zara-store,3540,5900,IN STOCK,https://www.zara.com/p/zara-18-slim-fit-midi-dress,https://picsum.photos/seed/zara-18-slim-fit-midi-dress/600/600
Zara Oversized Blazer,zara,clothing,Shirts,women,zara-store,950,1900,OUT OF STOCK,https://www.zara.com/p/zara-19-oversized-blazer,https://picsum.photos/seed/zara-19-oversized-blazer/600/600
Zara Tailored Shirt Dress,zara,clothing,Sweaters,men,zara-store,2400,4800,IN STOCK,https://www.zara.com/p/zara-20-tailored-shirt-dress,https://picsum.photos/seed/zara-20-tailored-shirt-dress/600/600
Hm Classic Blazer,hm,clothing,Dresses,women,hm-store,600,800,IN STOCK,https://www.hm.com/p/hm-1-classic-blazer,https://picsum.photos/seed/hm-1-classic-blazer/600/600
Hm Relaxed Shirt Dress,hm,clothing,Jackets,men,hm-store,1170,1800,IN STOCK,https://www.hm.com/p/hm-2-relaxed-shirt-dress,https://picsum.photos/seed/hm-2-relaxed-shirt-dress/600/600
Hm Slim Fit Denim Jacket,hm,clothing,Jeans,unisex,hm-store,2400,3200,IN STOCK,https://www.hm.com/p/hm-3-slim-fit-denim-jacket,https://picsum.photos/seed/hm-3-slim-fit-denim-jacket/600/600
Hm Oversized Knit Sweater,hm,clothing,Shirts,women,hm-store,720,1200,IN STOCK,https://www.hm.com/p/hm-4-oversized-knit-sweater,https://picsum.photos/seed/hm-4-oversized-knit-sweater/600/600
Hm Tailored Trench Coat,hm,clothing,Sweaters,men,hm-store,2210,2600,IN STOCK,https://www.hm.com/p/hm-5-tailored-trench-coat,https://picsum.photos/seed/hm-5-tailored-trench-coat/600/600
Hm Classic Midi Dress,hm,clothing,Dresses,unisex,hm-store,1280,1600,IN STOCK,https://www.hm.com/p/hm-6-classic-midi-dress,https://picsum.photos/seed/hm-6-classic-midi-dress/600/600
Hm Relaxed Blazer,hm,clothing,Jackets,women,hm-store,900,1500,LOW STOCK,https://www.hm.com/p/hm-7-relaxed-blazer,https://picsum.photos/seed/hm-7-relaxed-blazer/600/600
Hm Slim Fit Shirt Dress,hm,clothing,Jeans,men,hm-store,1330,1900,IN STOCK,https://www.hm.com/p/hm-8-slim-fit-shirt-dress,https://picsum.photos/seed/hm-8-slim-fit-shirt-dress/600/600
Hm Oversized Denim Jacket,hm,clothing,Shirts,unisex,hm-store,1500,2500,IN STOCK,https://www.hm.com/p/hm-9-oversized-denim-jacket,https://picsum.photos/seed/hm-9-oversized-denim-jacket/600/600
Hm Tailored Knit Sweater,hm,clothing,Sweaters,women,hm-store,2029,2900,LOW STOCK,https://www.hm.com/p/hm-10-tailored-knit-sweater,https://picsum.photos/seed/hm-10-tailored-knit-sweater/600/600
Hm Classic Trench Coat,hm,clothing,Dresses,men,hm-store,1400,2000,IN STOCK,https://www.hm.com/p/hm-11-classic-trench-coat,https://picsum.photos/seed/hm-11-classic-trench-coat/600/600
Hm Relaxed Midi Dress,hm,clothing,Jackets,unisex,hm-store,1440,2400,IN STOCK,https://www.hm.com/p/hm-12-relaxed-midi-dress,https://picsum.photos/seed/hm-12-relaxed-midi-dress/600/600
Hm Slim Fit Blazer,hm,clothing,Jeans,women,hm-store,325,500,IN STOCK,https://www.hm.com/p/hm-13-slim-fit-blazer,https://picsum.photos/seed/hm-13-slim-fit-blazer/600/600
Hm Oversized Shirt Dress,hm,clothing,Shirts,men,hm-store,720,1200,IN STOCK,https://www.hm.com/p/hm-14-oversized-shirt-dress,https://picsum.photos/seed/hm-14-oversized-shirt-dress/600/600
Hm Tailored Denim Jacket,hm,clothing,Sweaters,unisex,hm-store,2040,3400,OUT OF STOCK,https://www.hm.com/p/hm-15-tailored-denim-jacket,https://picsum.photos/seed/hm-15-tailored-denim-jacket/600/600
Hm Classic Knit Sweater,hm,clothing,Dresses,women,hm-store,1520,1900,IN STOCK,https://www.hm.com/p/hm-16-classic-knit-sweater,https://picsum.photos/seed/hm-16-classic-knit-sweater/600/600
Hm Relaxed Trench Coat,hm,clothing,Jackets,men,hm-store,650,1300,IN STOCK,https://www.hm.com/p/hm-17-relaxed-trench-coat,https://picsum.photos/seed/hm-17-relaxed-trench-coat/600/600
Hm Slim Fit Midi Dress,hm,clothing,Jeans,unisex,hm-store,600,1200,IN STOCK,https://www.hm.com/p/hm-18-slim-fit-midi-dress,https://picsum.photos/seed/hm-18-slim-fit-midi-dress/600/600
Hm Oversized Blazer,hm,clothing,Shirts,women,hm-store,2465,2900,IN STOCK,https://www.hm.com/p/hm-19-oversized-blazer,https://picsum.photos/seed/hm-19-oversized-blazer/600/600
Hm Tailored Shirt Dress,hm,clothing,Sweaters,men,hm-store,1860,3100,IN STOCK,https://www.hm.com/p/hm-20-tailored-shirt-dress,https://picsum.photos/seed/hm-20-tailored-shirt-dress/600/600
Nordstrom Classic Blazer,nordstrom,clothing,Dresses,women,nordstrom,5440,6800,LOW STOCK,https://www.nordstrom.com/p/nordstrom-1-classic-blazer,https://picsum.photos/seed/nordstrom-1-classic-blazer/600/600
Nordstrom Relaxed Shirt Dress,nordstrom,clothing,Jackets,men,nordstrom,5250,10500,LOW STOCK,https://www.nordstrom.com/p/nordstrom-2-relaxed-shirt-dress,https://picsum.photos/seed/nordstrom-2-relaxed-shirt-dress/600/600
Nordstrom Slim Fit Denim Jacket,nordstrom,clothing,Jeans,unisex,nordstrom,10920,18200,IN STOCK,https://www.nordstrom.com/p/nordstrom-3-slim-fit-denim-jacket,https://picsum.photos/seed/nordstrom-3-slim-fit-denim-jacket/600/600
Nordstrom Oversized Knit Sweater,nordstrom,clothing,Shirts,women,nordstrom,8500,17000,IN STOCK,https://www.nordstrom.com/p/nordstrom-4-oversized-knit-sweater,https://picsum.photos/seed/nordstrom-4-oversized-knit-sweater/600/600
Nordstrom Tailored Trench Coat,nordstrom,clothing,Sweaters,men,nordstrom,5100,6800,IN STOCK,https://www.nordstrom.com/p/nordstrom-5-tailored-trench-coat,https://picsum.photos/seed/nordstrom-5-tailored-trench-coat/600/600
Nordstrom Classic Midi Dress,nordstrom,clothing,Dresses,unisex,nordstrom,6970,8200,IN STOCK,https://www.nordstrom.com/p/nordstrom-6-classic-midi-dress,https://picsum.photos/seed/nordstrom-6-classic-midi-dress/600/600
Nordstrom Relaxed Blazer,nordstrom,clothing,Jackets,women,nordstrom,14400,19200,IN STOCK,https://www.nordstrom.com/p/nordstrom-7-relaxed-blazer,https://picsum.photos/seed/nordstrom-7-relaxed-blazer/600/600
Nordstrom Slim Fit Shirt Dress,nordstrom,clothing,Jeans,men,nordstrom,11750,23500,IN STOCK,https://www.nordstrom.com/p/nordstrom-8-slim-fit-shirt-dress,https://picsum.photos/seed/nordstrom-8-slim-fit-shirt-dress/600/600
Nordstrom Oversized Denim Jacket,nordstrom,clothing,Shirts,unisex,nordstrom,11625,15500,IN STOCK,https://www.nordstrom.com/p/nordstrom-9-oversized-denim-jacket,https://picsum.photos/seed/nordstrom-9-oversized-denim-jacket/600/600
Nordstrom Tailored Knit Sweater,nordstrom,clothing,Sweaters,women,nordstrom,7055,8300,IN STOCK,https://www.nordstrom.com/p/nordstrom-10-tailored-knit-sweater,https://picsum.photos/seed/nordstrom-10-tailored-knit-sweater/600/600
Nordstrom Classic Trench Coat,nordstrom,clothing,Dresses,men,nordstrom,5550,7400,IN STOCK,https://www.nordstrom.com/p/nordstrom-11-classic-trench-coat,https://picsum.photos/seed/nordstrom-11-classic-trench-coat/600/600
Nordstrom Relaxed Midi Dress,nordstrom,clothing,Jackets,unisex,nordstrom,7279,10400,IN STOCK,https://www.nordstrom.com/p/nordstrom-12-relaxed-midi-dress,https://picsum.photos/seed/nordstrom-12-relaxed-midi-dress/600/600
Nordstrom Slim Fit Blazer,nordstrom,clothing,Jeans,women,nordstrom,7150,11000,IN STOCK,https://www.nordstrom.com/p/nordstrom-13-slim-fit-blazer,https://picsum.photos/seed/nordstrom-13-slim-fit-blazer/600/600
Nordstrom Oversized Shirt Dress,nordstrom,clothing,Shirts,men,nordstrom,13920,23200,IN STOCK,https://www.nordstrom.com/p/nordstrom-14-oversized-shirt-dress,https://picsum.photos/seed/nordstrom-14-oversized-shirt-dress/600/600
Nordstrom Tailored Denim Jacket,nordstrom,clothing,Sweaters,unisex,nordstrom,13275,17700,IN STOCK,https://www.nordstrom.com/p/nordstrom-15-tailored-denim-jacket,https://picsum.photos/seed/nordstrom-15-tailored-denim-jacket/600/600
Nordstrom Classic Knit Sweater,nordstrom,clothing,Dresses,women,nordstrom,7800,15600,IN STOCK,https://www.nordstrom.com/p/nordstrom-16-classic-knit-sweater,https://picsum.photos/seed/nordstrom-16-classic-knit-sweater/600/600
Nordstrom Relaxed Trench Coat,nordstrom,clothing,Jackets,men,nordstrom,11495,20900,LOW STOCK,https://www.nordstrom.com/p/nordstrom-17-relaxed-trench-coat,https://picsum.photos/seed/nordstrom-17-relaxed-trench-coat/600/600
Nordstrom Slim Fit Midi Dress,nordstrom,clothing,Jeans,unisex,nordstrom,15300,20400,IN STOCK,https://www.nordstrom.com/p/nordstrom-18-slim-fit-midi-dress,https://picsum.photos/seed/nordstrom-18-slim-fit-midi-dress/600/600
Nordstrom Oversized Blazer,nordstrom,clothing,Shirts,women,nordstrom,18020,21200,LOW STOCK,https://www.nordstrom.com/p/nordstrom-19-oversized-blazer,https://picsum.photos/seed/nordstrom-19-oversized-blazer/600/600
Nordstrom Tailored Shirt Dress,nordstrom,clothing,Sweaters,men,nordstrom,8500,10000,IN STOCK,https://www.nordstrom.com/p/nordstrom-20-tailored-shirt-dress,https://picsum.photos/seed/nordstrom-20-tailored-shirt-dress/600/600
Revolve Classic Blazer,revolve,clothing,Dresses,women,revolve,6675,8900,IN STOCK,https://www.revolve.com/p/revolve-1-classic-blazer,https://picsum.photos/seed/revolve-1-classic-blazer/600/600
Revolve Relaxed Shirt Dress,revolve,clothing,Jackets,men,revolve,19440,24300,IN STOCK,https://www.revolve.com/p/revolve-2-relaxed-shirt-dress,https://picsum.photos/seed/revolve-2-relaxed-shirt-dress/600/600
Revolve Slim Fit Denim Jacket,revolve,clothing,Jeans,unisex,revolve,7350,14700,IN STOCK,https://www.revolve.com/p/revolve-3-slim-fit-denim-jacket,https://picsum.photos/seed/revolve-3-slim-fit-denim-jacket/600/600
Revolve Oversized Knit Sweater,revolve,clothing,Shirts,women,revolve,6375,7500,IN STOCK,https://www.revolve.com/p/revolve-4-oversized-knit-sweater,https://picsum.photos/seed/revolve-4-oversized-knit-sweater/600/600
Revolve Tailored Trench Coat,revolve,clothing,Sweaters,men,revolve,11135,13100,IN STOCK,https://www.revolve.com/p/revolve-5-tailored-trench-coat,https://picsum.photos/seed/revolve-5-tailored-trench-coat/600/600
Revolve Classic Midi Dress,revolve,clothing,Dresses,unisex,revolve,10300,20600,IN STOCK,https://www.revolve.com/p/revolve-6-classic-midi-dress,https://picsum.photos/seed/revolve-6-classic-midi-dress/600/600
Revolve Relaxed Blazer,revolve,clothing,Jackets,women,revolve,3050,6100,IN STOCK,https://www.revolve.com/p/revolve-7-relaxed-blazer,https://picsum.photos/seed/revolve-7-relaxed-blazer/600/600
Revolve Slim Fit Shirt Dress,revolve,clothing,Jeans,men,revolve,14419,20600,IN STOCK,https://www.revolve.com/p/revolve-8-slim-fit-shirt-dress,https://picsum.photos/seed/revolve-8-slim-fit-shirt-dress/600/600
Revolve Oversized Denim Jacket,revolve,clothing,Shirts,unisex,revolve,9400,18800,IN STOCK,https://www.revolve.com/p/revolve-9-oversized-denim-jacket,https://picsum.photos/seed/revolve-9-oversized-denim-jacket/600/600
Revolve Tailored Knit Sweater,revolve,clothing,Sweaters,women,revolve,7865,12100,LOW STOCK,https://www.revolve.com/p/revolve-10-tailored-knit-sweater,https://picsum.photos/seed/revolve-10-tailored-knit-sweater/600/600
Revolve Classic Trench Coat,revolve,clothing,Dresses,men,revolve,5300,10600,IN STOCK,https://www.revolve.com/p/revolve-11-classic-trench-coat,https://picsum.photos/seed/revolve-11-classic-trench-coat/600/600
Revolve Relaxed Midi Dress,revolve,clothing,Jackets,unisex,revolve,4400,8000,IN STOCK,https://www.revolve.com/p/revolve-12-relaxed-midi-dress,https://picsum.photos/seed/revolve-12-relaxed-midi-dress/600/600
Revolve Slim Fit Blazer,revolve,clothing,Jeans,women,revolve,4480,6400,IN STOCK,https://www.revolve.com/p/revolve-13-slim-fit-blazer,https://picsum.photos/seed/revolve-13-slim-fit-blazer/600/600
Revolve Oversized Shirt Dress,revolve,clothing,Shirts,men,revolve,7150,11000,IN STOCK,https://www.revolve.com/p/revolve-14-oversized-shirt-dress,https://picsum.photos/seed/revolve-14-oversized-shirt-dress/600/600
Revolve Tailored Denim Jacket,revolve,clothing,Sweaters,unisex,revolve,5460,9100,IN STOCK,https://www.revolve.com/p/revolve-15-tailored-denim-jacket,https://picsum.photos/seed/revolve-15-tailored-denim-jacket/600/600
Revolve Classic Knit Sweater,revolve,clothing,Dresses,women,revolve,4250,8500,IN STOCK,https://www.revolve.com/p/revolve-16-classic-knit-sweater,https://picsum.photos/seed/revolve-16-classic-knit-sweater/600/600
Revolve Relaxed Trench Coat,revolve,clothing,Jackets,men,revolve,3905,7100,LOW STOCK,https://www.revolve.com/p/revolve-17-relaxed-trench-coat,https://picsum.photos/seed/revolve-17-relaxed-trench-coat/600/600
Revolve Slim Fit Midi Dress,revolve,clothing,Jeans,unisex,revolve,6510,9300,IN STOCK,https://www.revolve.com/p/revolve-18-slim-fit-midi-dress,https://picsum.photos/seed/revolve-18-slim-fit-midi-dress/600/600
Revolve Oversized Blazer,revolve,clothing,Shirts,women,revolve,9955,18100,IN STOCK,https://www.revolve.com/p/revolve-19-oversized-blazer,https://picsum.photos/seed/revolve-19-oversized-blazer/600/600
Revolve Tailored Shirt Dress,revolve,clothing,Sweaters,men,revolve,6240,10400,IN STOCK,https://www.revolve.com/p/revolve-20-tailored-shirt-dress,https://picsum.photos/seed/revolve-20-tailored-shirt-dress/600/600
Amazon Classic Blazer,amazon,clothing,Dresses,women,amazon,2040,3400,IN STOCK,https://www.amazon.com/p/amazon-1-classic-blazer,https://picsum.photos/seed/amazon-1-classic-blazer/600/600
Amazon Relaxed Shirt Dress,amazon,clothing,Jackets,men,amazon,1350,2700,IN STOCK,https://www.amazon.com/p/amazon-2-relaxed-shirt-dress,https://picsum.photos/seed/amazon-2-relaxed-shirt-dress/600/600
Amazon Slim Fit Denim Jacket,amazon,clothing,Jeans,unisex,amazon,275,500,IN STOCK,https://www.amazon.com/p/amazon-3-slim-fit-denim-jacket,https://picsum.photos/seed/amazon-3-slim-fit-denim-jacket/600/600
Amazon Oversized Knit Sweater,amazon,clothing,Shirts,women,amazon,1950,3000,IN STOCK,https://www.amazon.com/p/amazon-4-oversized-knit-sweater,https://picsum.photos/seed/amazon-4-oversized-knit-sweater/600/600
Amazon Tailored Trench Coat,amazon,clothing,Sweaters,men,amazon,560,700,OUT OF STOCK,https://www.amazon.com/p/amazon-5-tailored-trench-coat,https://picsum.photos/seed/amazon-5-tailored-trench-coat/600/600
Amazon Classic Midi Dress,amazon,clothing,Dresses,unisex,amazon,1040,1300,IN STOCK,https://www.amazon.com/p/amazon-6-classic-midi-dress,https://picsum.photos/seed/amazon-6-classic-midi-dress/600/600
Amazon Relaxed Blazer,amazon,clothing,Jackets,women,amazon,1275,1500,LOW STOCK,https://www.amazon.com/p/amazon-7-relaxed-blazer,https://picsum.photos/seed/amazon-7-relaxed-blazer/600/600
Amazon Slim Fit Shirt Dress,amazon,clothing,Jeans,men,amazon,715,1100,IN STOCK,https://www.amazon.com/p/amazon-8-slim-fit-shirt-dress,https://picsum.photos/seed/amazon-8-slim-fit-shirt-dress/600/600
