id,slug,product_name,brand_slug,category_slug,subcategory,gender,description,colors,sizes,tags,rating,reviews,views,new_in,image_url,store_slug,price_usd,original_price_usd,availability,product_url
PI-0091,nordstrom-nordstrom-classic-trench-coat,Nordstrom Classic Trench Coat,nordstrom,mens-clothing,Dresses,men,"Nordstrom Nordstrom Classic Trench Coat — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.1,185,740,true,,nordstrom,1760,2346.66,IN STOCK,https://www.nordstrom.com/p/nordstrom-11-classic-trench-coat
PI-0092,nordstrom-nordstrom-relaxed-midi-dress,Nordstrom Relaxed Midi Dress,nordstrom,clothing,Jackets,unisex,"Nordstrom Nordstrom Relaxed Midi Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,3.6,166,559,false,,nordstrom,1060,1514.49,IN STOCK,https://www.nordstrom.com/p/nordstrom-12-relaxed-midi-dress
PI-0093,nordstrom-nordstrom-slim-fit-blazer,Nordstrom Slim Fit Blazer,nordstrom,clothing,Jeans,women,"Nordstrom Nordstrom Slim Fit Blazer — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.5,147,5798,false,,nordstrom,1520,2338.46,IN STOCK,https://www.nordstrom.com/p/nordstrom-13-slim-fit-blazer
PI-0094,nordstrom-nordstrom-oversized-shirt-dress,Nordstrom Oversized Shirt Dress,nordstrom,mens-clothing,Shirts,men,"Nordstrom Nordstrom Oversized Shirt Dress — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.8,80,1557,false,,nordstrom,1020,1700,IN STOCK,https://www.nordstrom.com/p/nordstrom-14-oversized-shirt-dress
PI-0095,nordstrom-nordstrom-tailored-denim-jacket,Nordstrom Tailored Denim Jacket,nordstrom,clothing,Sweaters,unisex,"Nordstrom Nordstrom Tailored Denim Jacket — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.7,61,4520,true,,nordstrom,1660,2213.34,IN STOCK,https://www.nordstrom.com/p/nordstrom-15-tailored-denim-jacket
PI-0096,nordstrom-nordstrom-classic-knit-sweater,Nordstrom Classic Knit Sweater,nordstrom,clothing,Dresses,women,"Nordstrom Nordstrom Classic Knit Sweater — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.2,42,251,false,,nordstrom,800,1600,IN STOCK,https://www.nordstrom.com/p/nordstrom-16-classic-knit-sweater
PI-0097,nordstrom-nordstrom-relaxed-trench-coat,Nordstrom Relaxed Trench Coat,nordstrom,mens-clothing,Jackets,men,"Nordstrom Nordstrom Relaxed Trench Coat — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,3.7,223,5766,true,,nordstrom,860,1563.64,LOW STOCK,https://www.nordstrom.com/p/nordstrom-17-relaxed-trench-coat
PI-0098,nordstrom-nordstrom-slim-fit-midi-dress,Nordstrom Slim Fit Midi Dress,nordstrom,clothing,Jeans,unisex,"Nordstrom Nordstrom Slim Fit Midi Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.8,52,5599,false,,nordstrom,840,1120,IN STOCK,https://www.nordstrom.com/p/nordstrom-18-slim-fit-midi-dress
PI-0099,nordstrom-nordstrom-oversized-blazer,Nordstrom Oversized Blazer,nordstrom,clothing,Shirts,women,"Nordstrom Nordstrom Oversized Blazer — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,4.3,233,3348,false,,nordstrom,960,1129.41,LOW STOCK,https://www.nordstrom.com/p/nordstrom-19-oversized-blazer
PI-0100,nordstrom-nordstrom-tailored-shirt-dress,Nordstrom Tailored Shirt Dress,nordstrom,mens-clothing,Sweaters,men,"Nordstrom Nordstrom Tailored Shirt Dress — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.6,62,1617,false,,nordstrom,800,941.18,IN STOCK,https://www.nordstrom.com/p/nordstrom-20-tailored-shirt-dress
PI-0101,revolve-revolve-classic-blazer,Revolve Classic Blazer,revolve,clothing,Dresses,women,"Revolve Revolve Classic Blazer — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.1,43,4858,false,,revolve,1280,1706.66,IN STOCK,https://www.revolve.com/p/revolve-1-classic-blazer
PI-0102,revolve-revolve-relaxed-shirt-dress,Revolve Relaxed Shirt Dress,revolve,mens-clothing,Jackets,men,"Revolve Revolve Relaxed Shirt Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.2,100,439,false,,revolve,1740,2175,IN STOCK,https://www.revolve.com/p/revolve-2-relaxed-shirt-dress
PI-0103,revolve-revolve-slim-fit-denim-jacket,Revolve Slim Fit Denim Jacket,revolve,clothing,Jeans,unisex,"Revolve Revolve Slim Fit Denim Jacket — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; jeans,3.7,81,2300,true,,revolve,840,1680,IN STOCK,https://www.revolve.com/p/revolve-3-slim-fit-denim-jacket
PI-0104,revolve-revolve-oversized-knit-sweater,Revolve Oversized Knit Sweater,revolve,clothing,Shirts,women,"Revolve Revolve Oversized Knit Sweater — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.8,138,645,false,,revolve,1740,2047.06,IN STOCK,https://www.revolve.com/p/revolve-4-oversized-knit-sweater
PI-0105,revolve-revolve-tailored-trench-coat,Revolve Tailored Trench Coat,revolve,mens-clothing,Sweaters,men,"Revolve Revolve Tailored Trench Coat — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.7,119,7034,false,,revolve,1800,2117.65,IN STOCK,https://www.revolve.com/p/revolve-5-tailored-trench-coat
PI-0106,revolve-revolve-classic-midi-dress,Revolve Classic Midi Dress,revolve,clothing,Dresses,unisex,"Revolve Revolve Classic Midi Dress — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.8,176,3499,false,,revolve,1060,2120,IN STOCK,https://www.revolve.com/p/revolve-6-classic-midi-dress
PI-0107,revolve-revolve-relaxed-blazer,Revolve Relaxed Blazer,revolve,clothing,Jackets,women,"Revolve Revolve Relaxed Blazer — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.3,157,1688,false,,revolve,1460,2920,IN STOCK,https://www.revolve.com/p/revolve-7-relaxed-blazer
PI-0108,revolve-revolve-slim-fit-shirt-dress,Revolve Slim Fit Shirt Dress,revolve,mens-clothing,Jeans,men,"Revolve Revolve Slim Fit Shirt Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.8,110,1735,false,,revolve,1420,2028.71,IN STOCK,https://www.revolve.com/p/revolve-8-slim-fit-shirt-dress
PI-0109,revolve-revolve-oversized-denim-jacket,Revolve Oversized Denim Jacket,revolve,clothing,Shirts,unisex,"Revolve Revolve Oversized Denim Jacket — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; shirts,4.3,91,3342,true,,revolve,1140,2280,IN STOCK,https://www.revolve.com/p/revolve-9-oversized-denim-jacket
PI-0110,revolve-revolve-tailored-knit-sweater,Revolve Tailored Knit Sweater,revolve,clothing,Sweaters,women,"Revolve Revolve Tailored Knit Sweater — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.9,59,2464,true,,revolve,1420,2184.61,LOW STOCK,https://www.revolve.com/p/revolve-10-tailored-knit-sweater
PI-0111,revolve-revolve-classic-trench-coat,Revolve Classic Trench Coat,revolve,mens-clothing,Dresses,men,"Revolve Revolve Classic Trench Coat — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.4,40,2707,true,,revolve,1140,2280,IN STOCK,https://www.revolve.com/p/revolve-11-classic-trench-coat
PI-0112,revolve-revolve-relaxed-midi-dress,Revolve Relaxed Midi Dress,revolve,clothing,Jackets,unisex,"Revolve Revolve Relaxed Midi Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.5,97,2158,false,,revolve,1300,2363.64,IN STOCK,https://www.revolve.com/p/revolve-12-relaxed-midi-dress
PI-0113,revolve-revolve-slim-fit-blazer,Revolve Slim Fit Blazer,revolve,clothing,Jeans,women,"Revolve Revolve Slim Fit Blazer — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4,78,5517,false,,revolve,1280,1828.57,IN STOCK,https://www.revolve.com/p/revolve-13-slim-fit-blazer
PI-0114,revolve-revolve-oversized-shirt-dress,Revolve Oversized Shirt Dress,revolve,mens-clothing,Shirts,men,"Revolve Revolve Oversized Shirt Dress — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,4.1,135,1692,false,,revolve,1760,2707.69,IN STOCK,https://www.revolve.com/p/revolve-14-oversized-shirt-dress
PI-0115,revolve-revolve-tailored-denim-jacket,Revolve Tailored Denim Jacket,revolve,clothing,Sweaters,unisex,"Revolve Revolve Tailored Denim Jacket — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,3.6,116,2399,true,,revolve,2000,3333.34,IN STOCK,https://www.revolve.com/p/revolve-15-tailored-denim-jacket
PI-0116,revolve-revolve-classic-knit-sweater,Revolve Classic Knit Sweater,revolve,clothing,Dresses,women,"Revolve Revolve Classic Knit Sweater — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,3.7,173,5298,false,,revolve,1960,3920,IN STOCK,https://www.revolve.com/p/revolve-16-classic-knit-sweater
PI-0117,revolve-revolve-relaxed-trench-coat,Revolve Relaxed Trench Coat,revolve,mens-clothing,Jackets,men,"Revolve Revolve Relaxed Trench Coat — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.6,154,7895,false,,revolve,1220,2218.18,LOW STOCK,https://www.revolve.com/p/revolve-17-relaxed-trench-coat
PI-0118,revolve-revolve-slim-fit-midi-dress,Revolve Slim Fit Midi Dress,revolve,clothing,Jeans,unisex,"Revolve Revolve Slim Fit Midi Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,3.7,107,520,false,,revolve,1060,1514.29,IN STOCK,https://www.revolve.com/p/revolve-18-slim-fit-midi-dress
PI-0119,revolve-revolve-oversized-blazer,Revolve Oversized Blazer,revolve,clothing,Shirts,women,"Revolve Revolve Oversized Blazer — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,4.6,88,3483,false,,revolve,1820,3309.1,IN STOCK,https://www.revolve.com/p/revolve-19-oversized-blazer
PI-0120,revolve-revolve-tailored-shirt-dress,Revolve Tailored Shirt Dress,revolve,mens-clothing,Sweaters,men,"Revolve Revolve Tailored Shirt Dress — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.4,80,3659,true,,revolve,1720,2866.66,IN STOCK,https://www.revolve.com/p/revolve-20-tailored-shirt-dress
PI-0121,amazon-amazon-classic-blazer,Amazon Classic Blazer,amazon,clothing,Dresses,women,"Amazon Fashion Amazon Classic Blazer — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,3.9,61,3768,false,,amazon,1620,2700,IN STOCK,https://www.amazon.com/p/amazon-1-classic-blazer
PI-0122,amazon-amazon-relaxed-shirt-dress,Amazon Relaxed Shirt Dress,amazon,mens-clothing,Jackets,men,"Amazon Fashion Amazon Relaxed Shirt Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.8,42,5925,false,,amazon,1350,2700,IN STOCK,https://www.amazon.com/p/amazon-2-relaxed-shirt-dress
PI-0123,amazon-amazon-slim-fit-denim-jacket,Amazon Slim Fit Denim Jacket,amazon,clothing,Jeans,unisex,"Amazon Fashion Amazon Slim Fit Denim Jacket — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; jeans,4.3,223,7898,false,,amazon,275,500,IN STOCK,https://www.amazon.com/p/amazon-3-slim-fit-denim-jacket
PI-0124,amazon-amazon-oversized-knit-sweater,Amazon Oversized Knit Sweater,amazon,clothing,Shirts,women,"Amazon Fashion Amazon Oversized Knit Sweater — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.8,204,2713,false,,amazon,1950,3000,IN STOCK,https://www.amazon.com/p/amazon-4-oversized-knit-sweater
PI-0125,amazon-amazon-tailored-trench-coat,Amazon Tailored Trench Coat,amazon,mens-clothing,Sweaters,men,"Amazon Fashion Amazon Tailored Trench Coat — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.7,185,6044,false,,amazon,560,700,OUT OF STOCK,https://www.amazon.com/p/amazon-5-tailored-trench-coat
PI-0126,amazon-amazon-classic-midi-dress,Amazon Classic Midi Dress,amazon,clothing,Dresses,unisex,"Amazon Fashion Amazon Classic Midi Dress — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.2,166,3953,false,,amazon,1040,1300,IN STOCK,https://www.amazon.com/p/amazon-6-classic-midi-dress
PI-0127,amazon-amazon-relaxed-blazer,Amazon Relaxed Blazer,amazon,clothing,Jackets,women,"Amazon Fashion Amazon Relaxed Blazer — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,3.7,147,602,false,,amazon,1275,1500,LOW STOCK,https://www.amazon.com/p/amazon-7-relaxed-blazer
PI-0128,amazon-amazon-slim-fit-shirt-dress,Amazon Slim Fit Shirt Dress,amazon,mens-clothing,Jeans,men,"Amazon Fashion Amazon Slim Fit Shirt Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.6,128,707,false,,amazon,715,1100,IN STOCK,https://www.amazon.com/p/amazon-8-slim-fit-shirt-dress
PI-0129,amazon-amazon-oversized-denim-jacket,Amazon Oversized Denim Jacket,amazon,clothing,Shirts,unisex,"Amazon Fashion Amazon Oversized Denim Jacket — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,clothing; shirts,4.1,109,720,false,,amazon,1365,2100,IN STOCK,https://www.amazon.com/p/amazon-9-oversized-denim-jacket
PI-0130,amazon-amazon-tailored-knit-sweater,Amazon Tailored Knit Sweater,amazon,clothing,Sweaters,women,"Amazon Fashion Amazon Tailored Knit Sweater — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.5,71,4362,false,,amazon,1300,2600,IN STOCK,https://www.amazon.com/p/amazon-10-tailored-knit-sweater
PI-0131,amazon-amazon-classic-trench-coat,Amazon Classic Trench Coat,amazon,mens-clothing,Dresses,men,"Amazon Fashion Amazon Classic Trench Coat — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,3.6,90,3605,false,,amazon,520,800,IN STOCK,https://www.amazon.com/p/amazon-11-classic-trench-coat
PI-0132,amazon-amazon-relaxed-midi-dress,Amazon Relaxed Midi Dress,amazon,clothing,Jackets,unisex,"Amazon Fashion Amazon Relaxed Midi Dress — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4.1,109,168,false,,amazon,1620,2160,IN STOCK,https://www.amazon.com/p/amazon-12-relaxed-midi-dress
PI-0133,amazon-amazon-slim-fit-blazer,Amazon Slim Fit Blazer,amazon,clothing,Jeans,women,"Amazon Fashion Amazon Slim Fit Blazer — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.6,128,2357,false,,amazon,455,700,LOW STOCK,https://www.amazon.com/p/amazon-13-slim-fit-blazer
PI-0134,amazon-amazon-oversized-shirt-dress,Amazon Oversized Shirt Dress,amazon,mens-clothing,Shirts,men,"Amazon Fashion Amazon Oversized Shirt Dress — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.9,195,6918,false,,amazon,1440,1800,LOW STOCK,https://www.amazon.com/p/amazon-14-oversized-shirt-dress
PI-0135,amazon-amazon-tailored-denim-jacket,Amazon Tailored Denim Jacket,amazon,clothing,Sweaters,unisex,"Amazon Fashion Amazon Tailored Denim Jacket — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4.4,214,7439,false,,amazon,489,700,IN STOCK,https://www.amazon.com/p/amazon-15-tailored-denim-jacket
PI-0136,amazon-amazon-classic-knit-sweater,Amazon Classic Knit Sweater,amazon,clothing,Dresses,women,"Amazon Fashion Amazon Classic Knit Sweater — dresses tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; dresses,4.9,233,580,true,,amazon,450,900,IN STOCK,https://www.amazon.com/p/amazon-16-classic-knit-sweater
PI-0137,amazon-amazon-relaxed-trench-coat,Amazon Relaxed Trench Coat,amazon,mens-clothing,Jackets,men,"Amazon Fashion Amazon Relaxed Trench Coat — jackets tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jackets,4,52,1193,false,,amazon,1485,2700,LOW STOCK,https://www.amazon.com/p/amazon-17-relaxed-trench-coat
PI-0138,amazon-amazon-slim-fit-midi-dress,Amazon Slim Fit Midi Dress,amazon,clothing,Jeans,unisex,"Amazon Fashion Amazon Slim Fit Midi Dress — jeans tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; jeans,4.7,119,3618,false,,amazon,1125,1500,IN STOCK,https://www.amazon.com/p/amazon-18-slim-fit-midi-dress
PI-0139,amazon-amazon-oversized-blazer,Amazon Oversized Blazer,amazon,clothing,Shirts,women,"Amazon Fashion Amazon Oversized Blazer — shirts tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,clothing; shirts,3.8,138,6403,true,,amazon,1380,1971.43,LOW STOCK,https://www.amazon.com/p/amazon-19-oversized-blazer
PI-0140,amazon-amazon-tailored-shirt-dress,Amazon Tailored Shirt Dress,amazon,mens-clothing,Sweaters,men,"Amazon Fashion Amazon Tailored Shirt Dress — sweaters tracked across 1 store. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Red,,clothing; sweaters,4,66,4149,false,,amazon,715,1100,IN STOCK,https://www.amazon.com/p/amazon-20-tailored-shirt-dress
PI-0161,levis-levis-slim-fit-denim-jeans,Levis Slim Fit Denim Jeans,levis,mens-clothing,Shirts,men,"Levi's Levis Slim Fit Denim Jeans — shirts tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,mens-clothing; shirts,3.7,89,5028,false,,levis-store,1960,3266.66,IN STOCK,https://www.levi.com/p/levis-1-slim-fit-denim-jeans
PI-0161,levis-levis-slim-fit-denim-jeans,Levis Slim Fit Denim Jeans,levis,mens-clothing,Shirts,men,"Levi's Levis Slim Fit Denim Jeans — shirts tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,mens-clothing; shirts,3.7,89,5028,false,,levis-store,1480,2114.29,IN STOCK,https://www.levi.com/p/levis-5-slim-fit-denim-jeans
PI-0161,levis-levis-slim-fit-denim-jeans,Levis Slim Fit Denim Jeans,levis,mens-clothing,Shirts,men,"Levi's Levis Slim Fit Denim Jeans — shirts tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,mens-clothing; shirts,3.7,89,5028,false,,levis-store,1420,2184.61,IN STOCK,https://www.levi.com/p/levis-9-slim-fit-denim-jeans
PI-0161,levis-levis-slim-fit-denim-jeans,Levis Slim Fit Denim Jeans,levis,mens-clothing,Shirts,men,"Levi's Levis Slim Fit Denim Jeans — shirts tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,mens-clothing; shirts,3.7,89,5028,false,,levis-store,1340,1786.66,IN STOCK,https://www.levi.com/p/levis-13-slim-fit-denim-jeans
PI-0161,levis-levis-slim-fit-denim-jeans,Levis Slim Fit Denim Jeans,levis,mens-clothing,Shirts,men,"Levi's Levis Slim Fit Denim Jeans — shirts tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",Denim,,mens-clothing; shirts,3.7,89,5028,false,,levis-store,1840,2629.22,IN STOCK,https://www.levi.com/p/levis-17-slim-fit-denim-jeans
PI-0162,levis-levis-classic-oxford-shirt,Levis Classic Oxford Shirt,levis,mens-clothing,Jeans,men,"Levi's Levis Classic Oxford Shirt — jeans tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jeans,4.6,70,4937,false,,levis-store,940,1446.16,IN STOCK,https://www.levi.com/p/levis-2-classic-oxford-shirt
PI-0162,levis-levis-classic-oxford-shirt,Levis Classic Oxford Shirt,levis,mens-clothing,Jeans,men,"Levi's Levis Classic Oxford Shirt — jeans tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jeans,4.6,70,4937,false,,levis-store,1060,1247.06,IN STOCK,https://www.levi.com/p/levis-6-classic-oxford-shirt
PI-0162,levis-levis-classic-oxford-shirt,Levis Classic Oxford Shirt,levis,mens-clothing,Jeans,men,"Levi's Levis Classic Oxford Shirt — jeans tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jeans,4.6,70,4937,false,,levis-store,1275,1700,IN STOCK,https://www.levi.com/p/levis-10-classic-oxford-shirt
PI-0162,levis-levis-classic-oxford-shirt,Levis Classic Oxford Shirt,levis,mens-clothing,Jeans,men,"Levi's Levis Classic Oxford Shirt — jeans tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jeans,4.6,70,4937,false,,levis-store,1680,3054.54,IN STOCK,https://www.levi.com/p/levis-14-classic-oxford-shirt
PI-0162,levis-levis-classic-oxford-shirt,Levis Classic Oxford Shirt,levis,mens-clothing,Jeans,men,"Levi's Levis Classic Oxford Shirt — jeans tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jeans,4.6,70,4937,false,,levis-store,975,1300,IN STOCK,https://www.levi.com/p/levis-18-classic-oxford-shirt
PI-0163,levis-levis-relaxed-chino-trousers,Levis Relaxed Chino Trousers,levis,mens-clothing,Jackets,men,"Levi's Levis Relaxed Chino Trousers — jackets tracked across 5 stores. We compare live prices, stock and coupons so you always land on the cheapest active listing.",,,mens-clothing; jackets,4.1,51,8066,true,,levis-store,1760,2070.59,IN STOCK,https://www.levi.com/p/levis-3-relaxed-chino-trousers
